Bagan,jhr-0,ext-0,
Chaah Bahru,jhr-0,ext-1,
Kampong Bahru,jhr-0,ext-2,
Linau,jhr-0,ext-3,
Lubok,jhr-0,ext-4,
Minyak Beku,jhr-0,ext-5,
Peserai,jhr-0,ext-6,
Simpang Kanan,jhr-0,ext-7,
Simpang Kiri,jhr-0,ext-8,
Sri Gading,jhr-0,ext-9,
Sri Medan,jhr-0,ext-10,
Sungai Kluang,jhr-0,ext-11,
Sungai Punggor,jhr-0,ext-12,
Tanjong Sembrong,jhr-0,ext-13,
Bandar Johor Bahru,jhr-1,ext-14,
Jelutong,jhr-1,ext-15,
Kulai,jhr-2,ext-16,
Pletong,jhr-1,ext-17,
Sedenak,jhr-1,ext-18,
Senai,jhr-2,ext-19,
Sungai Tiram,jhr-1,ext-20,
Tanjung Kupang,jhr-1,ext-21,
Tebrau,jhr-1,ext-22,
Masai,jhr-2,ext-373,
Pasir Gudang,jhr-2,ext-379,
Ulu Tiram,jhr-2,ext-374,
Kahang,jhr-3,ext-23,
Layang-layang,jhr-3,ext-24,
Machap,jhr-3,ext-25,
Niyor,jhr-3,ext-26,
Palah,jhr-3,ext-27,
Rengam,jhr-3,ext-28,
Ulu Benut,jhr-3,ext-29,
Johor Lama,jhr-4,ext-30,
Kambau,jhr-4,ext-31,
Pantai Timur,jhr-4,ext-32,
Sedili Besar,jhr-4,ext-34,
Sedili Kechil,jhr-4,ext-35,
Tanjong Surat,jhr-4,ext-36,
Ulu Sungai Johor,jhr-4,ext-37,
Ulu Sungei Sedili Besar,jhr-4,ext-38,
Jemaluang,jhr-5,ext-39,
Lenggor,jhr-5,ext-40,
Padang Endau,jhr-5,ext-41,
Penyabong,jhr-5,ext-42,
Pulau Babi,jhr-5,ext-43,
Pulau Sibu,jhr-5,ext-44,
Pulau Tinggi,jhr-5,ext-45,
Sembrong,jhr-5,ext-46,
Tenggaroh,jhr-5,ext-47,
Tenglu,jhr-5,ext-48,
Triang,jhr-5,ext-49,
Ayer Hitam,jhr-6,ext-50,
Bukit Kepong,jhr-6,ext-51,
Bukit Serampang,jhr-6,ext-52,
Grisek,jhr-6,ext-53,
Jorak,jhr-6,ext-55,
Kesang,jhr-6,ext-56,
Kg. Bukit Pasir,jhr-6,ext-57,
Kundang,jhr-6,ext-58,
Lenga,jhr-6,ext-59,
Pagoh,jhr-6,ext-378,
Parit Bakar,jhr-6,ext-60,
Parit Jawa,jhr-6,ext-61,
Serom,jhr-6,ext-62,
Sri Menanti,jhr-6,ext-63,
Sungai Balang,jhr-6,ext-64,
Sungai Raya,jhr-6,ext-65,
Tangkak,jhr-6,ext-66,
Air Masin,jhr-8,ext-67,
Ayer Baloi,jhr-8,ext-68,
Benut,jhr-8,ext-69,
Jeram Batu,jhr-8,ext-70,
Pengkalan Raja,jhr-8,ext-71,
Rimba Terjun,jhr-8,ext-72,
Serkat,jhr-8,ext-73,
Sungai Karang,jhr-8,ext-74,
Sungei Pinggan,jhr-8,ext-75,
Bandar Segamat,jhr-10,ext-76,
Bekok,jhr-10,ext-77,
Buloh Kasap,jhr-10,ext-78,
Chaah,jhr-10,ext-79,
Gemereh,jhr-10,ext-80,
Jabi,jhr-10,ext-81,
Jementah,jhr-10,ext-82,
Labis,jhr-10,ext-83,
Pogoh,jhr-10,ext-84,
Sermin,jhr-10,ext-85,
Sungai Segamat,jhr-10,ext-86,
Bakai,kdh-0,ext-87,
Bongor,kdh-0,ext-88,
Kupang,kdh-0,ext-89,
Siong,kdh-0,ext-90,
Tawar,kdh-0,ext-91,
Telui Kanan,kdh-0,ext-92,
Bagan Samak,kdh-1,ext-93,
Kuala Selama,kdh-1,ext-94,
Permatang Pasir,kdh-1,ext-95,
Relau,kdh-1,ext-96,
Serdang,kdh-1,ext-97,
Sungai Batu,kdh-1,ext-98,
Sungai Kechil,kdh-1,ext-99,
Alor Malai,kdh-2,ext-100,
Alor Merah,kdh-2,ext-101,
Alor Setar,kdh-2,ext-102,
Anak Bukit,kdh-2,ext-103,
Bukit Lada,kdh-2,ext-104,
Bukit Pinang,kdh-2,ext-105,
Derang,kdh-2,ext-106,
Derga,kdh-2,ext-107,
